Materia,Total_Cupos,Total_Secciones,Residuos_Cupos,semestre_numerico,semestre_original
METODOS MATEMATICOS I,1106,27,271,4033,2016B
METODOS MATEMATICOS II,904,25,223,4033,2016B
MINERIA DE DATOS,125,3,39,4033,2016B
PROGRAMACION,985,31,215,4033,2016B
PROGRAMACION PARA INTERNET,162,4,16,4033,2016B
SEGURIDAD DE LA INFORMACION,120,3,26,4033,2016B
SEMINARIO DE SOLUCION DE PROBLEMAS DE BASES DE DATOS,203,10,20,4033,2016B
SEMINARIO DE SOLUCION DE PROBLEMAS DE PROGRAMACION,1012,44,314,4033,2016B
SEMINARIO DE SOLUCION DE PROBLEMAS DE ALGORITMIA,426,13,100,4033,2016B
SEMINARIO DE SOLUCION DE PROBLEMAS DE ESTRUCTURAS DE DATOS I,456,17,71,4033,2016B
SEMINARIO DE SOLUCION DE PROBLEMAS DE ESTRUCTURAS DE DATOS II,329,12,45,4033,2016B
SEMINARIO DE SOLUCION DE PROBLEMAS DE METODOS MATEMATICOS I,2202,58,970,4033,2016B
SEMINARIO DE SOLUCION DE PROBLEMAS DE METODOS MATEMATICOS II,565,16,69,4033,2016B
SEMINARIO DE SOLUCION DE PROBLEMAS DE INGENIERIA DE SOFTWARE I,262,9,77,4033,2016B
"SEMINARIO DE SOLUCION DE PROBLEMAS DE USO, ADAPTACION, EXPLOTACION DE SISTEMAS OPERATIVOS",81,4,17,4033,2016B
SEMINARIO DE SOLUCION DE PROBLEMAS DE SISTEMAS BASADOS EN CONOCIMIENTO,40,1,19,4033,2016B
SISTEMAS BASADOS EN CONOCIMIENTO,41,1,1,4033,2016B
TEORIA DE LA COMPUTACION,560,14,145,4033,2016B
"USO, ADAPTACION Y EXPLOTACION DE SISTEMAS OPERATIVOS",120,3,40,4033,2016B
ADMINISTRACION DE BASES DE DATOS,240,6,127,4034,2017A
ADMINISTRACION DE REDES,80,2,33,4034,2017A
ADMINISTRACION DE SERVIDORES,160,4,16,4034,2017A
ALGORITMIA,391,11,128,4034,2017A
ALMACENES DE DATOS (DATA WAREHOUSE),120,3,41,4034,2017A
BASES DE DATOS,321,8,51,4034,2017A
CLASIFICACION INTELIGENTE DE DATOS,120,3,23,4034,2017A
CONTROL DE PROYECTOS,160,4,78,4034,2017A
ESTADISTICA Y PROCESOS ESTOCASTICOS,722,18,316,4034,2017A
ESTRUCTURAS DE DATOS I,520,13,198,4034,2017A
ESTRUCTURAS DE DATOS II,400,10,102,4034,2017A
HIPERMEDIA,202,5,59,4034,2017A
INGENIERIA DE SOFTWARE I,280,7,50,4034,2017A
INGENIERIA DE SOFTWARE II,80,2,13,4034,2017A
MATEMATICA DISCRETA,440,11,66,4034,2017A
METODOS MATEMATICOS I,1091,27,244,4034,2017A
METODOS MATEMATICOS II,944,23,157,4034,2017A
MINERIA DE DATOS,122,3,22,4034,2017A
PROGRAMACION,1161,29,312,4034,2017A
PROGRAMACION PARA INTERNET,240,6,47,4034,2017A
SEGURIDAD DE LA INFORMACION,120,3,24,4034,2017A
SEMINARIO DE SOLUCION DE PROBLEMAS DE BASES DE DATOS,289,12,19,4034,2017A
SEMINARIO DE SOLUCION DE PROBLEMAS DE PROGRAMACION,990,41,194,4034,2017A
SEMINARIO DE SOLUCION DE PROBLEMAS DE ALGORITMIA,350,13,31,4034,2017A
SEMINARIO DE SOLUCION DE PROBLEMAS DE ESTRUCTURAS DE DATOS I,408,17,102,4034,2017A
SEMINARIO DE SOLUCION DE PROBLEMAS DE ESTRUCTURAS DE DATOS II,293,12,13,4034,2017A
SEMINARIO DE SOLUCION DE PROBLEMAS DE METODOS MATEMATICOS I,1038,25,85,4034,2017A
SEMINARIO DE SOLUCION DE PROBLEMAS DE METODOS MATEMATICOS II,1145,33,393,4034,2017A
SEMINARIO DE SOLUCION DE PROBLEMAS DE INGENIERIA DE SOFTWARE I,218,9,14,4034,2017A
"SEMINARIO DE SOLUCION DE PROBLEMAS DE USO, ADAPTACION, EXPLOTACION DE SISTEMAS OPERATIVOS",96,4,20,4034,2017A
SEMINARIO DE SOLUCION DE PROBLEMAS DE SISTEMAS BASADOS EN CONOCIMIENTO,73,3,13,4034,2017A
SISTEMAS BASADOS EN CONOCIMIENTO,120,3,31,4034,2017A
TEORIA DE LA COMPUTACION,510,13,217,4034,2017A
"USO, ADAPTACION Y EXPLOTACION DE SISTEMAS OPERATIVOS",120,3,38,4034,2017A
ADMINISTRACION DE BASES DE DATOS,199,6,77,4035,2017B
ADMINISTRACION DE REDES,70,2,16,4035,2017B
ADMINISTRACION DE SERVIDORES,212,6,30,4035,2017B
ALGORITMIA,247,9,47,4035,2017B
ALMACENES DE DATOS (DATA WAREHOUSE),105,3,26,4035,2017B
BASES DE DATOS,388,11,100,4035,2017B
CLASIFICACION INTELIGENTE DE DATOS,146,4,42,4035,2017B
CONTROL DE PROYECTOS,176,5,76,4035,2017B
ESTADISTICA Y PROCESOS ESTOCASTICOS,473,18,35,4035,2017B
ESTRUCTURAS DE DATOS I,491,14,117,4035,2017B
ESTRUCTURAS DE DATOS II,351,11,99,4035,2017B
HIPERMEDIA,211,6,44,4035,2017B
INGENIERIA DE SOFTWARE I,281,9,70,4035,2017B
INGENIERIA DE SOFTWARE II,69,2,25,4035,2017B
MATEMATICA DISCRETA,440,11,52,4035,2017B
METODOS MATEMATICOS I,1055,28,176,4035,2017B
METODOS MATEMATICOS II,866,23,180,4035,2017B
MINERIA DE DATOS,105,3,8,4035,2017B
PROGRAMACION,1240,31,399,4035,2017B
PROGRAMACION PARA INTERNET,281,10,8,4035,2017B
SEGURIDAD DE LA INFORMACION,142,4,18,4035,2017B
SEMINARIO DE SOLUCION DE PROBLEMAS DE BASES DE DATOS,263,13,50,4035,2017B
SEMINARIO DE SOLUCION DE PROBLEMAS DE PROGRAMACION,1030,43,250,4035,2017B
SEMINARIO DE SOLUCION DE PROBLEMAS DE ALGORITMIA,289,12,28,4035,2017B
SEMINARIO DE SOLUCION DE PROBLEMAS DE ESTRUCTURAS DE DATOS I,335,15,18,4035,2017B
SEMINARIO DE SOLUCION DE PROBLEMAS DE ESTRUCTURAS DE DATOS II,282,13,20,4035,2017B
SEMINARIO DE SOLUCION DE PROBLEMAS DE METODOS MATEMATICOS I,1167,29,100,4035,2017B
SEMINARIO DE SOLUCION DE PROBLEMAS DE INGENIERIA DE SOFTWARE I,183,10,15,4035,2017B
"SEMINARIO DE SOLUCION DE PROBLEMAS DE USO, ADAPTACION, EXPLOTACION DE SISTEMAS OPERATIVOS",97,4,11,4035,2017B
SEMINARIO DE SOLUCION DE PROBLEMAS DE SISTEMAS BASADOS EN CONOCIMIENTO,74,3,6,4035,2017B
SEMINARIO DE SOLUCION DE PROBLEMAS DE METODOS MATEMATICOS II,757,19,39,4035,2017B
SISTEMAS BASADOS EN CONOCIMIENTO,105,3,28,4035,2017B
TEORIA DE LA COMPUTACION,283,8,46,4035,2017B
"USO, ADAPTACION Y EXPLOTACION DE SISTEMAS OPERATIVOS",106,3,20,4035,2017B
ADMINISTRACION DE BASES DE DATOS,150,5,12,4036,2018A
ADMINISTRACION DE REDES,180,6,40,4036,2018A
ADMINISTRACION DE SERVIDORES,177,7,48,4036,2018A
ALGORITMIA,212,7,27,4036,2018A
ALMACENES DE DATOS (DATA WAREHOUSE),90,3,5,4036,2018A
BASES DE DATOS,308,10,15,4036,2018A
CLASIFICACION INTELIGENTE DE DATOS,120,4,30,4036,2018A
CONTROL DE PROYECTOS,199,7,47,4036,2018A
ESTADISTICA Y PROCESOS ESTOCASTICOS,560,16,142,4036,2018A
ESTRUCTURAS DE DATOS I,420,14,38,4036,2018A
ESTRUCTURAS DE DATOS II,243,8,21,4036,2018A
HIPERMEDIA,182,6,6,4036,2018A
INGENIERIA DE SOFTWARE I,313,11,92,4036,2018A
INGENIERIA DE SOFTWARE II,91,3,6,4036,2018A
MATEMATICA DISCRETA,440,11,62,4036,2018A
METODOS MATEMATICOS I,1107,28,297,4036,2018A
METODOS MATEMATICOS II,923,23,117,4036,2018A
MINERIA DE DATOS,115,4,14,4036,2018A
PROGRAMACION,1280,32,420,4036,2018A
PROGRAMACION PARA INTERNET,354,13,78,4036,2018A
SEGURIDAD DE LA INFORMACION,120,4,6,4036,2018A
SEMINARIO DE SOLUCION DE PROBLEMAS DE PROGRAMACION,914,38,200,4036,2018A
SEMINARIO DE SOLUCION DE PROBLEMAS DE ALGORITMIA,222,11,22,4036,2018A
